ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,FLAG_NM,REGIST_AT,TEL_NO,OPNNG_DE,REGIST_DC,REGIST_DE,REGIST_NO,HMPG_ADDR,SOUND_PROVD_AT,SOUND_UTILIIZA_PRICE,MOBILE_PROVD_AT,LND_AR_VALUE,BULD_AR_VALUE,DSPY_AR_CN,AR_CN,EDC_FCLTY_AR_VALUE,OFFM_AR_CN,DATA_SPCE_AR_VALUE,DATA_CO,PBLPRFR_CAS_CO,TOT_PROGRM_CO,OPNNG_DAY_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,VIEWNG_PRICE,INFN_VIEWNG_PRICE,SCHBOY_VIEWNG_PRICE,MSKLSD_VIEWNG_PRICE,ADULT_VIEWNG_PRICE,GRP_DSCNT_RT,ETC_DSCNT_RT,DSCNT_CN,FRE_TRGET_CN,SPECL_VIEWNG_PRICE,INFN_SPECL_VIEWNG_PRICE,SCHBOY_SPECL_VIEWNG_PRICE,MSKLSD_SPECL_VIEWNG_PRICE,ADULT_SPECL_VIEWNG_PRICE,GRP_SPECL_VIEWNG_RT,ETC_SPECL_VIEWNG_DSCNT_RT,ETC_SPECL_VIEWNG_DSCNT_CN,FRE_SPECL_VIEWNG_PRICE,NMPR_CO,GVRNM_EMP_SM_CO,QUALF_HOLD_CO,TOT_CNTRCT_EMP_CO,CNTRCT_EMP_CRTFCT_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_INTN_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,CURTR_QUALF_HOLD_CO,CURTR_NTHG_QUALF_HOLD_CO,PRFSN_CO,GNRL_EMP_CO,PRVATE_INTN_CO,PRVATE_VLNTER_CO,RM_CN,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCDMART25N000000001","문화시설","미술관","국립현대미술관(과천관)","경기","과천시","4129010400","막계동","4129056000","문원동","412903195056","경기도 과천시 광명로 313","13829","다사575369","127.0199299","37.43100343","국립","1종","02-2188-6114","1986.08.25","O","2023.01.02","국립13-2023-01호","www.mmca.go.kr, 
www.facebook.com/MMCAKorea, www.instagram.com/MMCAKorea, 
www.twitter.com/MMCAKOREA, www.youtube.com/MMCAKorea, tv.naver.com/mmca","O",,"O","66,916","37,797","13,788",,"1,162","4,169","510","69,358","연6회","28","313","562,604","1,797",,,,,,,,,,"기획전시별 별도 책정
(2,000원~5,000원 수준)",,,,,"20","20~50","아시아나클럽 일반회원 20% (카드제시자에 한함)
다둥이카드 소지자 20% 할인
LG유플러스 멤버스 앱 회원 50% 할인(앱쿠폰인증)","1.일반
만24세 이하 또는 만65세 이상
대학생(학부생)
국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족)
국가유공자·독립유공자 유족증 소지자
장애인 및 동행보호자
문화누리카드 소지자
미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) 
국립현대미술관 유료회원
박물관·미술관 학예사 자격 취득자
예술인패스 소지자
ICOM(국제박물관협의회) 카드 소지자
CIMAN(국제근현대미술관위원회) 카드 소지자
패트론/파트너 카드 소지자
학부모 On누리 사이트 내 학교폭력대응 관련 과정 이수증 소지자

2.제휴사
아시아나클럽 우수회원 카드(카드제시자에 한함)

3.매월 마지막 수요일 문화가 있는 날","368","85","63","52","24","63","128","18","20",,,,,,,,"국립 미술관 공공(공무원) 직원수는 과천, 서울, 덕수궁, 청주관 합계 수치입니다.","20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000002","문화시설","미술관","국립현대미술관(서울관)","서울","종로구","1111014200","소격동","1111054000","삼청동","111103100007","서울특별시 종로구 삼청로 30","03062","다사540533","126.9800327","37.57874362","국립","1종","02-3701-9500","2013.11.12","O","2023.01.02","국립13-2023-01호","www.mmca.go.kr, www.facebook.com/MMCAKorea, 
www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA, 
www.youtube.com/MMCAKorea, tv.naver.com/mmca","O",,"O","27,264","52,125","10,070",,"5,641","2,888","710","44,409","연10회","88","362","1,655,834","4,574",,,,,,,,,,"기획전시별 별도 책정
(2,000원~5,000원 수준)",,,,,"20","20~50","아시아나클럽 일반회원 20% (카드제시자에 한함)
다둥이카드 소지자 20% 할인
LG유플러스 멤버스 앱 회원 50% 할인(앱쿠폰인증)","1.일반
만24세 이하 또는 만65세 이상
대학생(학부생)
국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족)
국가유공자·독립유공자 유족증 소지자
장애인 및 동행보호자
문화누리카드 소지자
미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) 
국립현대미술관 유료회원
박물관·미술관 학예사 자격 취득자
예술인패스 소지자
ICOM(국제박물관협의회) 카드 소지자
CIMAN(국제근현대미술관위원회) 카드 소지자
패트론/파트너 카드 소지자
학부모 On누리 사이트 내 학교폭력대응 관련 과정 이수증 소지자

2.제휴사
아시아나클럽 우수회원 카드(카드제시자에 한함)

4.매월 마지막 수요일 문화가 있는 날","368","85","63","52","24","63","128","18","20",,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000003","문화시설","미술관","국립현대미술관(덕수궁관)","서울","중구","1114016700","정동","1114052000","소공동","111402005001","서울특별시 중구 세종대로 99","04519","다사535519","126.9737258","37.56608683","국립","1종","02-2022-0600","1998.12.01","O","2023.01.02","국립13-2023-01호","www.mmca.go.kr, www.facebook.com/MMCAKorea, 
www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA,
 www.youtube.com/MMCAKorea, tv.naver.com/mmca","O",,"O","1,181","2,247","1,152",,"78","64",,,"연1회","1","174","459,146","2,639",,,,,,,,,,"기획전시별 별도 책정
(2,000원~5,000원 수준)
* 덕수궁 입장료 제외",,,,,"20","20~50","아시아나클럽 일반회원 20% (카드제시자에 한함)
다둥이카드 소지자 20% 할인
LG유플러스 멤버스 앱 회원 50% 할인(앱쿠폰인증)","1.일반
만24세 이하 또는 만65세 이상
대학생(학부생)
국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족)
국가유공자·독립유공자 유족증 소지자
장애인 및 동행보호자
문화누리카드 소지자
미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) 
국립현대미술관 유료회원
박물관·미술관 학예사 자격 취득자
예술인패스 소지자
ICOM(국제박물관협의회) 카드 소지자
CIMAN(국제근현대미술관위원회) 카드 소지자
패트론/파트너 카드 소지자
학부모 On누리 사이트 내 학교폭력대응 관련 과정 이수증 소지자

2.제휴사
아시아나클럽 우수회원 카드(카드제시자에 한함)

5.매월 마지막 수요일 문화가 있는 날","364","85","63","52","24","63","128","18","16",,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000004","문화시설","미술관","국립현대미술관 미술품수장센터(청주관)","충북","청주시","4311410200","내덕동","4311453000","내덕2동","431143236027","충청북도 청주시 청원구 상당로 314","28501","다바993509","127.4923824","36.65619554","국립","1종","043-261-1400","2018.12.27","O","2023.01.02","국립13-2023-01호","www.mmca.go.kr, www.facebook.com/MMCAKorea, 
www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA,
 www.youtube.com/MMCAKorea, tv.naver.com/mmca","O",,"O","12,077","19,865","3,669",,"295","639","72","4,120","연2회","16","313","269,870","862",,,,,,,,,,"기획전시별 별도 책정
(2,000원)
* 덕수궁 입장료 제외",,,,,"20","20~50","아시아나클럽 일반회원 20% (카드제시자에 한함)
다둥이카드 소지자 20% 할인
LG유플러스 멤버스 앱 회원 50% 할인(앱쿠폰인증)","1.일반
만24세 이하 또는 만65세 이상
대학생(학부생)
국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족)
국가유공자·독립유공자 유족증 소지자
장애인 및 동행보호자
문화누리카드 소지자
미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) 
국립현대미술관 유료회원
박물관·미술관 학예사 자격 취득자
예술인패스 소지자
ICOM(국제박물관협의회) 카드 소지자
CIMAN(국제근현대미술관위원회) 카드 소지자
패트론/파트너 카드 소지자
학부모 On누리 사이트 내 학교폭력대응 관련 과정 이수증 소지자

2.제휴사
아시아나클럽 우수회원 카드(카드제시자에 한함)

5.매월 마지막 수요일 문화가 있는 날","373","85","63","52","24","63","128","18","25",,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000005","문화시설","미술관","DDP디자인뮤지엄","서울","중구","1114014900","을지로7가","1114059000","광희동","111403101006","서울특별시 중구 을지로 281","04566","다사568521","127.0108904","37.56804459","공립","1종","02-2153-0066","2020.02.17","O","2020.02.17","서울-공립13-2020-01호","www.ddp.or.kr","X",,"X","62,109","82,464","1,557",,"1,789","428",,,"연15회","15","362","855,433","2,363",,,,,,,,,,,,,,,,,,"전체","10","0","0","10",,,,,,,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000006","문화시설","미술관","겸재정선미술관","서울","강서구","1150010500","마곡동","1150060300","가양1동","115004145407","서울특별시 강서구 양천로 47길 36","07522","다사415527","126.8384127","37.57222802","공립","1종","02-2659-2206","2009.04.23","O","2014.02.14","서울-공립13-2014-03호","www.culture.gangseo.seoul.kr","X",,"O","4,065","3,305","606",,"343","74","13","2,648","연10회","16","311","41,575","134","1,000","0","500","500","1,000","30","35","겸재정선미술관-허준박물관 통합관람권(35%), 2,4주 토요일 무료입장, 문화가 있는 날, 야간 무료입장 등","만 6세 이하 및 65세 이상, 국가유공자, 독립유공자 및 그 유족 또는 가족, 장애인 및 보호자 1인, 다둥이 행복카드 소지자(등재 가족 포함)","1,000","0","500","500","1,000","30","35","겸재정선미술관-허준박물관 통합관람권(35%), 2,4주 토요일 무료입장, 문화가 있는 날 야간 무료입장 등","만 6세 이하 및 65세 이상, 국가유공자,독립유공자 및 그 유족 또는 가족, 장애인 및 보호자 1인, 다둥이 행복카드 소지자(등재 가족 포함)","59","0","0","2",,,,,"57",,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000007","문화시설","미술관","서울시립미술관","서울","중구","1114016600","서소문동","1114052000","소공동","111404103076","서울특별시 중구 덕수궁길 61","04515","다사535517","126.9736993","37.56410607","공립","1종","02-2124-8817","1988.08.19","O","1999.03.15","서울-공립13-1999-01호","sema.seoul.go.kr","O","무료","O","25,420","13,434","3,283",,"460","721","170","46,622","연45회","9","322","1,918,799","5,959",,,,,,,,,"전체","17,000","10,000","12,000","15,000","15,000",,"40","만65세 이상, 장애인(심하지 않은 장애), 미취학 아동(4-6세), 국가유공자 유족, 소유자독립유공자 유족, 의사상자 유족, 서울명예시민","만 48개월 미만, 장애인(심한 장애)와 동반 1인, 국가유공자 본인, 독립유공자 본인, 의사상자 본인, 참전유공자 본인 등","96","37","36",,,"60",,,,,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000008","문화시설","미술관","성북구립미술관","서울","성북구","1129010100","성북동","1129052500","성북동","112903107008","서울특별시 성북구 성북로 134","02837","다사554551","126.9948871","37.5948372","공립","2종","02-6925-5011","2009.11.29","O","2010.12.29","서울-공립21-2010-07호","sma.sbculture.or.kr/sma","X",,"X","532","696","222",,,"23",,,"연2회","7","176","24,020","136",,,,,,,,,,,,,,,,,,"전체","12","8","8",,,,"4",,,,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000009","문화시설","미술관","종로구립 박노수미술관","서울","종로구","1111011100","옥인동","1111051500","청운효자동","111104100205","서울특별시 종로구 옥인1길 34","03034","다사529536","126.9668185","37.5813192","공립","1종","02-2148-4171","2013.08.13","O","2013.08.13","서울-공립13-2013-07호","https://www.jfac.or.kr/site/main/content/parkns01","X",,"X","957","351","191",,,"12",,,"연1회","7","273","28,426","104",,,,,,,,,,"3,000","0","1,200","1,800","1,800","40","50","종로구민(50% 할인), 한복착용(50% 할인), 문화가 있는 날(50% 할인)","국빈·외교사절단 및 수행자, 6세 이하 어린이, 만 65세 이상, 장애인 및 보호자, 국가유공자와 그 유족 또는 가족, 기초수급자, 다둥이행복카드 소지자 및 가족, 종로구 명예구민, 연구 및 공무수행","155","0","0","1","1",,"2","1","150",,,,,,,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
"KCDMART25N000000010","문화시설","미술관","JCC아트센터","서울","종로구","1111016900","혜화동","1111065000","혜화동","111104100418","서울특별시 종로구 창경궁로 35길 29","03076","다사560543","127.0018857","37.58718318","사립","1종","02-2138-7373","2015.10.27","O","2016.02.22","서울-사립13-2016-01호","www.jeijcc.org","X",,"O","3,180","121","121",,,"29",,,"연2회","11","90","4,000","44",,,,,,,,,"전체",,,,,,,,,"전체","4","0","0",,,,,,,"2",,,,"2",,,,"20260610","문화기반시설총람 2025","KC_478_DMSTC_MCST_ARTGR_2025","20251231"
